title,id,arxiv_url,published,citation
Semi-supervised deep learning by metric embedding,1611.01449,http://arxiv.org/abs/1611.01449v2,2016-11-04T16:39:20Z,9
"The Bottleneck Simulator: A Model-based Deep Reinforcement Learning
  Approach",1807.04723,http://arxiv.org/abs/1807.04723v1,2018-07-12T16:59:28Z,9
"Joint Representation and Truncated Inference Learning for Correlation
  Filter based Tracking",1807.11071,http://arxiv.org/abs/1807.11071v1,2018-07-29T15:24:51Z,9
A Siamese Deep Forest,1704.08715,http://arxiv.org/abs/1704.08715v1,2017-04-27T18:51:41Z,9
Efficient Deep Learning on Multi-Source Private Data,1807.06689,http://arxiv.org/abs/1807.06689v1,2018-07-17T22:18:19Z,9
"SVM and ELM: Who Wins? Object Recognition with Deep Convolutional
  Features from ImageNet",1506.02509,http://arxiv.org/abs/1506.02509v1,2015-06-08T13:58:01Z,9
"ACCNet: Actor-Coordinator-Critic Net for ""Learning-to-Communicate"" with
  Deep Multi-agent Reinforcement Learning",1706.03235,http://arxiv.org/abs/1706.03235v3,2017-06-10T13:50:23Z,9
Towards Alzheimer's Disease Classification through Transfer Learning,1711.11117,http://arxiv.org/abs/1711.11117v1,2017-11-29T21:40:36Z,9
"Deep Learning for Spatio-Temporal Modeling: Dynamic Traffic Flows and
  High Frequency Trading",1705.09851,http://arxiv.org/abs/1705.09851v2,2017-05-27T18:17:58Z,9
"Feature-Based Aggregation and Deep Reinforcement Learning: A Survey and
  Some New Implementations",1804.04577,http://arxiv.org/abs/1804.04577v3,2018-04-12T15:46:12Z,9
"Deep Reinforcement Learning for Multi-Resource Multi-Machine Job
  Scheduling",1711.07440,http://arxiv.org/abs/1711.07440v1,2017-11-20T17:50:54Z,9
"Deep Learning of Nonnegativity-Constrained Autoencoders for Enhanced
  Understanding of Data",1802.00003,http://arxiv.org/abs/1802.00003v3,2018-01-31T02:32:40Z,9
"Using Rule-Based Labels for Weak Supervised Learning: A ChemNet for
  Transferable Chemical Property Prediction",1712.02734,http://arxiv.org/abs/1712.02734v2,2017-12-07T17:25:48Z,9
"A Structured Variational Auto-encoder for Learning Deep Hierarchies of
  Sparse Features",1602.08734,http://arxiv.org/abs/1602.08734v1,2016-02-28T16:10:40Z,9
"Deep Belief Network Training Improvement Using Elite Samples Minimizing
  Free Energy",1411.4046,http://arxiv.org/abs/1411.4046v1,2014-11-14T16:57:48Z,9
SelfieBoost: A Boosting Algorithm for Deep Learning,1411.3436,http://arxiv.org/abs/1411.3436v2,2014-11-13T03:34:32Z,9
The Description Length of Deep Learning Models,1802.07044,http://arxiv.org/abs/1802.07044v5,2018-02-20T10:15:26Z,9
"Learnable Histogram: Statistical Context Features for Deep Neural
  Networks",1804.09398,http://arxiv.org/abs/1804.09398v3,2018-04-25T07:30:47Z,9
Faster Training of Very Deep Networks Via p-Norm Gates,1608.03639,http://arxiv.org/abs/1608.03639v1,2016-08-11T23:48:44Z,9
"Deep Spatiotemporal Models for Robust Proprioceptive Terrain
  Classification",1804.00736,http://arxiv.org/abs/1804.00736v1,2018-04-02T21:38:56Z,8
Detection and Tracking of Liquids with Fully Convolutional Networks,1606.06266,http://arxiv.org/abs/1606.06266v1,2016-06-20T19:40:29Z,8
An Analysis of the Connections Between Layers of Deep Neural Networks,1306.0152,http://arxiv.org/abs/1306.0152v1,2013-06-01T21:37:25Z,8
"Generalization in Deep Networks: The Role of Distance from
  Initialization",1901.01672,http://arxiv.org/abs/1901.01672v2,2019-01-07T05:59:11Z,8
A Theoretical Analysis of Deep Q-Learning,1901.00137,http://arxiv.org/abs/1901.00137v2,2019-01-01T11:41:23Z,8
TF-Ranking: Scalable TensorFlow Library for Learning-to-Rank,1812.00073,http://arxiv.org/abs/1812.00073v2,2018-11-30T22:11:27Z,8
Emotion Classification from Noisy Speech - A Deep Learning Approach,1603.05901,http://arxiv.org/abs/1603.05901v3,2016-03-18T16:09:09Z,8
"Incorporating Human Domain Knowledge into Large Scale Cost Function
  Learning",1612.04318,http://arxiv.org/abs/1612.04318v1,2016-12-13T18:56:03Z,8
Adapting Resilient Propagation for Deep Learning,1509.04612,http://arxiv.org/abs/1509.04612v2,2015-09-15T15:55:29Z,8
A Robust Adaptive Stochastic Gradient Method for Deep Learning,1703.00788,http://arxiv.org/abs/1703.00788v1,2017-03-02T14:03:48Z,8
"Semi-supervised Learning with Deep Generative Models for Asset Failure
  Prediction",1709.00845,http://arxiv.org/abs/1709.00845v1,2017-09-04T07:42:57Z,8
"Deep Learning Sparse Ternary Projections for Compressed Sensing of
  Images",1708.08311,http://arxiv.org/abs/1708.08311v1,2017-08-28T13:51:09Z,8
"Towards safe deep learning: accurately quantifying biomarker uncertainty
  in neural network predictions",1806.08640,http://arxiv.org/abs/1806.08640v1,2018-06-22T12:54:20Z,8
Deep Reinforcement Learning for Chinese Zero pronoun Resolution,1806.03711,http://arxiv.org/abs/1806.03711v2,2018-06-10T19:29:03Z,8
Learning Abstract Options,1810.11583,http://arxiv.org/abs/1810.11583v3,2018-10-27T02:54:59Z,8
Confident Multiple Choice Learning,1706.03475,http://arxiv.org/abs/1706.03475v2,2017-06-12T05:55:38Z,8
"Security Analysis and Enhancement of Model Compressed Deep Learning
  Systems under Adversarial Attacks",1802.05193,http://arxiv.org/abs/1802.05193v2,2018-02-14T16:31:35Z,8
Perceptual Reward Functions,1608.03824,http://arxiv.org/abs/1608.03824v1,2016-08-12T15:29:05Z,8
Deep Transfer Learning for Error Decoding from Non-Invasive EEG,1710.09139,http://arxiv.org/abs/1710.09139v3,2017-10-25T09:47:04Z,8
Towards Dynamic Computation Graphs via Sparse Latent Structure,1809.00653,http://arxiv.org/abs/1809.00653v1,2018-09-03T16:52:19Z,8
Learning to Explore with Meta-Policy Gradient,1803.05044,http://arxiv.org/abs/1803.05044v2,2018-03-13T21:04:17Z,8
"Deep Reinforcement Learning in Ice Hockey for Context-Aware Player
  Evaluation",1805.11088,http://arxiv.org/abs/1805.11088v3,2018-05-26T19:23:51Z,8
Cross-City Transfer Learning for Deep Spatio-Temporal Prediction,1802.00386,http://arxiv.org/abs/1802.00386v2,2018-02-01T16:52:42Z,8
Infrared and Visible Image Fusion using a Deep Learning Framework,1804.06992,http://arxiv.org/abs/1804.06992v4,2018-04-19T04:30:08Z,8
Learning Policy Representations in Multiagent Systems,1806.06464,http://arxiv.org/abs/1806.06464v2,2018-06-17T23:29:19Z,8
A Strategy for an Uncompromising Incremental Learner,1705.00744,http://arxiv.org/abs/1705.00744v2,2017-05-02T00:17:54Z,8
Enlightening Deep Neural Networks with Knowledge of Confounding Factors,1607.02397,http://arxiv.org/abs/1607.02397v1,2016-07-08T15:00:11Z,8
"Novel Deep Learning Model for Traffic Sign Detection Using Capsule
  Networks",1805.04424,http://arxiv.org/abs/1805.04424v1,2018-05-11T14:34:15Z,8
Loss Landscapes of Regularized Linear Autoencoders,1901.08168,http://arxiv.org/abs/1901.08168v2,2019-01-23T23:38:04Z,8
"Deep Ranking Model by Large Adaptive Margin Learning for Person
  Re-identification",1707.00409,http://arxiv.org/abs/1707.00409v2,2017-07-03T05:58:46Z,8
A Deep Learning Framework for Short-term Power Load Forecasting,1711.11519,http://arxiv.org/abs/1711.11519v2,2017-11-30T17:12:54Z,8
"Deep linear neural networks with arbitrary loss: All local minima are
  global",1712.01473,http://arxiv.org/abs/1712.01473v2,2017-12-05T04:12:09Z,8
Online Learning to Sample,1506.09016,http://arxiv.org/abs/1506.09016v2,2015-06-30T10:08:35Z,8
Deep Imbalanced Learning for Face Recognition and Attribute Prediction,1806.00194,http://arxiv.org/abs/1806.00194v2,2018-06-01T04:55:47Z,8
"An Iterative Deep Learning Framework for Unsupervised Discovery of
  Speech Features and Linguistic Units with Applications on Spoken Term
  Detection",1602.00426,http://arxiv.org/abs/1602.00426v1,2016-02-01T08:37:56Z,8
"SAR Target Recognition Using the Multi-aspect-aware Bidirectional LSTM
  Recurrent Neural Networks",1707.09875,http://arxiv.org/abs/1707.09875v1,2017-07-25T04:01:25Z,8
"Fixed-point optimization of deep neural networks with adaptive step size
  retraining",1702.08171,http://arxiv.org/abs/1702.08171v1,2017-02-27T08:00:58Z,8
Short-term Memory of Deep RNN,1802.00748,http://arxiv.org/abs/1802.00748v1,2018-02-02T16:14:59Z,8
Deep Learning as a Mixed Convex-Combinatorial Optimization Problem,1710.11573,http://arxiv.org/abs/1710.11573v3,2017-10-31T16:42:44Z,8
On the Learning Dynamics of Deep Neural Networks,1809.06848,http://arxiv.org/abs/1809.06848v1,2018-09-18T17:58:49Z,8
"Convolutional capsule network for classification of breast cancer
  histology images",1804.08376,http://arxiv.org/abs/1804.08376v1,2018-04-23T12:48:49Z,8
DeepDTA: Deep Drug-Target Binding Affinity Prediction,1801.10193,http://arxiv.org/abs/1801.10193v2,2018-01-30T19:58:35Z,8
Deep Sparse Subspace Clustering,1709.08374,http://arxiv.org/abs/1709.08374v1,2017-09-25T08:43:04Z,8
Using machine learning for medium frequency derivative portfolio trading,1512.06228,http://arxiv.org/abs/1512.06228v1,2015-12-19T11:45:13Z,8
"A Deep Neural Network Surrogate for High-Dimensional Random Partial
  Differential Equations",1806.02957,http://arxiv.org/abs/1806.02957v2,2018-06-08T03:24:50Z,8
Less-forgetful Learning for Domain Expansion in Deep Neural Networks,1711.05959,http://arxiv.org/abs/1711.05959v1,2017-11-16T07:04:51Z,8
Dynamic Frame skip Deep Q Network,1605.05365,http://arxiv.org/abs/1605.05365v2,2016-05-17T20:58:41Z,8
"Implementation of a Practical Distributed Calculation System with
  Browsers and JavaScript, and Application to Distributed Deep Learning",1503.05743,http://arxiv.org/abs/1503.05743v1,2015-03-19T12:41:29Z,8
Music Generation by Deep Learning - Challenges and Directions,1712.04371,http://arxiv.org/abs/1712.04371v2,2017-12-09T14:57:47Z,8
"AI Oriented Large-Scale Video Management for Smart City: Technologies,
  Standards and Beyond",1712.01432,http://arxiv.org/abs/1712.01432v1,2017-12-05T01:02:33Z,8
"Composing Meta-Policies for Autonomous Driving Using Hierarchical Deep
  Reinforcement Learning",1711.01503,http://arxiv.org/abs/1711.01503v1,2017-11-04T22:37:25Z,8
"Image Augmentation using Radial Transform for Training Deep Neural
  Networks",1708.04347,http://arxiv.org/abs/1708.04347v4,2017-08-14T22:35:35Z,8
Temporal Autoencoding Restricted Boltzmann Machine,1210.8353,http://arxiv.org/abs/1210.8353v1,2012-10-31T14:55:50Z,8
Deep Learning and its Application to LHC Physics,1806.11484,http://arxiv.org/abs/1806.11484v1,2018-06-29T15:41:16Z,8
"On the Feasibility of Generic Deep Disaggregation for Single-Load
  Extraction",1802.02139,http://arxiv.org/abs/1802.02139v1,2018-02-05T20:59:36Z,8
FFT-Based Deep Learning Deployment in Embedded Systems,1712.04910,http://arxiv.org/abs/1712.04910v1,2017-12-13T18:26:17Z,8
Biased Importance Sampling for Deep Neural Network Training,1706.00043,http://arxiv.org/abs/1706.00043v2,2017-05-31T18:25:09Z,8
"Meta-Learning Transferable Active Learning Policies by Deep
  Reinforcement Learning",1806.04798,http://arxiv.org/abs/1806.04798v1,2018-06-12T23:52:08Z,8
Learning Navigation Behaviors End-to-End with AutoRL,1809.10124,http://arxiv.org/abs/1809.10124v2,2018-09-26T17:09:56Z,8
A Deep Investigation of Deep IR Models,1707.07700,http://arxiv.org/abs/1707.07700v1,2017-07-24T18:14:04Z,8
Layer-wise training of deep networks using kernel similarity,1703.07115,http://arxiv.org/abs/1703.07115v1,2017-03-21T09:53:51Z,8
"Learning Heuristics for Automated Reasoning through Deep Reinforcement
  Learning",1807.08058,http://arxiv.org/abs/1807.08058v2,2018-07-20T23:59:36Z,8
Posterior Concentration for Sparse Deep Learning,1803.09138,http://arxiv.org/abs/1803.09138v1,2018-03-24T17:51:15Z,8
Action Branching Architectures for Deep Reinforcement Learning,1711.08946,http://arxiv.org/abs/1711.08946v2,2017-11-24T12:45:30Z,8
Efficient Decentralized Deep Learning by Dynamic Model Averaging,1807.03210,http://arxiv.org/abs/1807.03210v2,2018-07-09T15:01:51Z,8
"Wireless Networks Design in the Era of Deep Learning: Model-Based,
  AI-Based, or Both?",1902.02647,http://arxiv.org/abs/1902.02647v2,2019-02-05T19:22:23Z,8
Robust and Communication-Efficient Federated Learning from Non-IID Data,1903.02891,http://arxiv.org/abs/1903.02891v1,2019-03-07T13:10:30Z,8
Deep Probabilistic Logic: A Unifying Framework for Indirect Supervision,1808.08485,http://arxiv.org/abs/1808.08485v1,2018-08-26T00:02:36Z,8
A Gentle Introduction to Deep Learning in Medical Image Processing,1810.05401,http://arxiv.org/abs/1810.05401v2,2018-10-12T08:27:53Z,8
Deep Learning by Scattering,1306.5532,http://arxiv.org/abs/1306.5532v2,2013-06-24T07:52:45Z,8
A Deep Learning Approach for Pose Estimation from Volumetric OCT Data,1803.03852,http://arxiv.org/abs/1803.03852v1,2018-03-10T18:48:18Z,8
SPNets: Differentiable Fluid Dynamics for Deep Neural Networks,1806.06094,http://arxiv.org/abs/1806.06094v2,2018-06-15T18:58:16Z,8
"Deep Cross-Modal Correlation Learning for Audio and Lyrics in Music
  Retrieval",1711.08976,http://arxiv.org/abs/1711.08976v2,2017-11-24T14:21:46Z,8
Feed Forward and Backward Run in Deep Convolution Neural Network,1711.03278,http://arxiv.org/abs/1711.03278v1,2017-11-09T07:32:30Z,8
Scene Text Detection and Recognition: The Deep Learning Era,1811.04256,http://arxiv.org/abs/1811.04256v3,2018-11-10T13:56:31Z,8
Off-Policy Deep Reinforcement Learning without Exploration,1812.02900,http://arxiv.org/abs/1812.02900v3,2018-12-07T04:03:25Z,8
"Tracking by Prediction: A Deep Generative Model for Mutli-Person
  localisation and Tracking",1803.03347,http://arxiv.org/abs/1803.03347v1,2018-03-09T01:14:30Z,8
"Planning Multi-Fingered Grasps as Probabilistic Inference in a Learned
  Deep Network",1804.03289,http://arxiv.org/abs/1804.03289v1,2018-04-10T00:44:29Z,8
Decoupled Parallel Backpropagation with Convergence Guarantee,1804.10574,http://arxiv.org/abs/1804.10574v3,2018-04-27T16:05:26Z,8
Towards Learning to Perceive and Reason About Liquids,1608.00887,http://arxiv.org/abs/1608.00887v1,2016-08-02T16:30:18Z,8
Convergence of the Deep BSDE Method for Coupled FBSDEs,1811.01165,http://arxiv.org/abs/1811.01165v2,2018-11-03T06:08:23Z,8
Deep Unsupervised Learning of Visual Similarities,1802.08562,http://arxiv.org/abs/1802.08562v1,2018-02-22T04:11:59Z,8
Seismic Full-Waveform Inversion Using Deep Learning Tools and Techniques,1801.07232,http://arxiv.org/abs/1801.07232v2,2018-01-22T18:27:19Z,8
A deep learning approach to diabetic blood glucose prediction,1707.05828,http://arxiv.org/abs/1707.05828v1,2017-07-18T19:21:29Z,8
Forward Thinking: Building Deep Random Forests,1705.07366,http://arxiv.org/abs/1705.07366v1,2017-05-20T22:39:51Z,8
"Deep Learning for Lung Cancer Detection: Tackling the Kaggle Data
  Science Bowl 2017 Challenge",1705.09435,http://arxiv.org/abs/1705.09435v1,2017-05-26T05:36:29Z,8
Deep Counterfactual Regret Minimization,1811.00164,http://arxiv.org/abs/1811.00164v3,2018-11-01T00:07:02Z,8
A representer theorem for deep neural networks,1802.09210,http://arxiv.org/abs/1802.09210v2,2018-02-26T09:14:48Z,8
Content Selection in Deep Learning Models of Summarization,1810.12343,http://arxiv.org/abs/1810.12343v2,2018-10-29T18:42:46Z,8
Accelerating Deep Learning with Shrinkage and Recall,1605.01369,http://arxiv.org/abs/1605.01369v2,2016-05-04T18:17:37Z,8
Leveraging the Exact Likelihood of Deep Latent Variable Models,1802.04826,http://arxiv.org/abs/1802.04826v4,2018-02-13T19:27:38Z,8
"Joint Domain Alignment and Discriminative Feature Learning for
  Unsupervised Deep Domain Adaptation",1808.09347,http://arxiv.org/abs/1808.09347v2,2018-08-28T15:04:32Z,8
"Deep Adaptive Network: An Efficient Deep Neural Network with Sparse
  Binary Connections",1604.06154,http://arxiv.org/abs/1604.06154v1,2016-04-21T01:47:33Z,7
Machine Learning for the Geosciences: Challenges and Opportunities,1711.04708,http://arxiv.org/abs/1711.04708v1,2017-11-13T17:16:38Z,7
Deep Reinforcement Learning using Capsules in Advanced Game Environments,1801.09597,http://arxiv.org/abs/1801.09597v1,2018-01-29T16:04:25Z,7
"A Deep Convolutional Auto-Encoder with Pooling - Unpooling Layers in
  Caffe",1701.04949,http://arxiv.org/abs/1701.04949v1,2017-01-18T05:24:24Z,7
Learning Robust Options,1802.03236,http://arxiv.org/abs/1802.03236v1,2018-02-09T12:52:06Z,7
Unsupervised Video Object Segmentation for Deep Reinforcement Learning,1805.07780,http://arxiv.org/abs/1805.07780v1,2018-05-20T15:45:03Z,7
Evaluating Bayesian Deep Learning Methods for Semantic Segmentation,1811.12709,http://arxiv.org/abs/1811.12709v2,2018-11-30T10:41:31Z,7
Deep Triplet Quantization,1902.00153,http://arxiv.org/abs/1902.00153v1,2019-02-01T02:29:35Z,7
AMPNet: Asynchronous Model-Parallel Training for Dynamic Neural Networks,1705.09786,http://arxiv.org/abs/1705.09786v3,2017-05-27T08:10:40Z,7
"Deep Encoder-Decoder Models for Unsupervised Learning of Controllable
  Speech Synthesis",1807.11470,http://arxiv.org/abs/1807.11470v3,2018-07-30T17:59:28Z,7
"A Deep Learning Framework for Single-Sided Sound Speed Inversion in
  Medical Ultrasound",1810.00322,http://arxiv.org/abs/1810.00322v4,2018-09-30T06:07:00Z,7
Deep Learning for Forecasting Stock Returns in the Cross-Section,1801.01777,http://arxiv.org/abs/1801.01777v4,2018-01-03T23:47:52Z,7
Generative Deep Deconvolutional Learning,1412.6039,http://arxiv.org/abs/1412.6039v3,2014-12-18T20:01:38Z,7
"Deep Learning for Accelerated Reliability Analysis of Infrastructure
  Networks",1708.08551,http://arxiv.org/abs/1708.08551v1,2017-08-28T22:41:11Z,7
Distributed learning of deep neural network over multiple agents,1810.06060,http://arxiv.org/abs/1810.06060v1,2018-10-14T16:57:10Z,7
SEVEN: Deep Semi-supervised Verification Networks,1706.03692,http://arxiv.org/abs/1706.03692v2,2017-06-12T15:39:51Z,7
A survey on Deep Learning Advances on Different 3D Data Representations,1808.01462,http://arxiv.org/abs/1808.01462v2,2018-08-04T10:18:55Z,7
"Phonocardiographic Sensing using Deep Learning for Abnormal Heartbeat
  Detection",1801.08322,http://arxiv.org/abs/1801.08322v3,2018-01-25T09:25:41Z,7
"Learning Multi-Scale Deep Features for High-Resolution Satellite Image
  Classification",1611.03591,http://arxiv.org/abs/1611.03591v1,2016-11-11T05:31:42Z,7
"Pseudo-Recursal: Solving the Catastrophic Forgetting Problem in Deep
  Neural Networks",1802.03875,http://arxiv.org/abs/1802.03875v2,2018-02-12T03:51:41Z,7
Unsupervised Person Re-identification by Soft Multilabel Learning,1903.06325,http://arxiv.org/abs/1903.06325v2,2019-03-15T02:10:57Z,7
Deep Triplet Ranking Networks for One-Shot Recognition,1804.07275,http://arxiv.org/abs/1804.07275v1,2018-04-19T16:57:52Z,7
"URLNet: Learning a URL Representation with Deep Learning for Malicious
  URL Detection",1802.03162,http://arxiv.org/abs/1802.03162v2,2018-02-09T08:07:13Z,7
"HOList: An Environment for Machine Learning of Higher-Order Theorem
  Proving",1904.03241,http://arxiv.org/abs/1904.03241v2,2019-04-05T19:04:33Z,7
Discriminative Deep Dyna-Q: Robust Planning for Dialogue Policy Learning,1808.09442,http://arxiv.org/abs/1808.09442v2,2018-08-28T17:59:08Z,7
"Deep Reinforcement Learning for Dynamic Treatment Regimes on Medical
  Registry Data",1801.09271,http://arxiv.org/abs/1801.09271v1,2018-01-28T19:29:50Z,7
Learning Over Long Time Lags,1602.04335,http://arxiv.org/abs/1602.04335v1,2016-02-13T14:09:41Z,7
"A Jointly Learned Deep Architecture for Facial Attribute Analysis and
  Face Detection in the Wild",1707.08705,http://arxiv.org/abs/1707.08705v1,2017-07-27T04:45:42Z,7
Flow of Information in Feed-Forward Deep Neural Networks,1603.06220,http://arxiv.org/abs/1603.06220v1,2016-03-20T14:39:27Z,7
Deep Learning Reconstruction of Ultra-Short Pulses,1803.06024,http://arxiv.org/abs/1803.06024v1,2018-03-15T22:37:31Z,7
Generative networks as inverse problems with Scattering transforms,1805.06621,http://arxiv.org/abs/1805.06621v1,2018-05-17T07:12:18Z,7
"CEM-RL: Combining evolutionary and gradient-based methods for policy
  search",1810.01222,http://arxiv.org/abs/1810.01222v3,2018-10-02T13:12:13Z,7
"Pretraining Deep Actor-Critic Reinforcement Learning Algorithms With
  Expert Demonstrations",1801.10459,http://arxiv.org/abs/1801.10459v2,2018-01-31T14:30:00Z,7
"DeePMD-kit: A deep learning package for many-body potential energy
  representation and molecular dynamics",1712.03641,http://arxiv.org/abs/1712.03641v2,2017-12-11T04:16:43Z,7
"User Personalized Satisfaction Prediction via Multiple Instance Deep
  Learning",1611.08096,http://arxiv.org/abs/1611.08096v1,2016-11-24T08:43:03Z,7
"Revisiting the problem of audio-based hit song prediction using
  convolutional neural networks",1704.01280,http://arxiv.org/abs/1704.01280v1,2017-04-05T06:39:51Z,7
"Data augmentation using synthetic data for time series classification
  with deep residual networks",1808.02455,http://arxiv.org/abs/1808.02455v1,2018-08-07T16:48:21Z,7
Training Neural Networks Using Features Replay,1807.04511,http://arxiv.org/abs/1807.04511v5,2018-07-12T10:14:50Z,7
Pose Embeddings: A Deep Architecture for Learning to Match Human Poses,1507.00302,http://arxiv.org/abs/1507.00302v1,2015-07-01T17:59:21Z,7
"Learn What Not to Learn: Action Elimination with Deep Reinforcement
  Learning",1809.02121,http://arxiv.org/abs/1809.02121v3,2018-09-06T17:52:41Z,7
"Deep Bayesian Active Learning for Natural Language Processing: Results
  of a Large-Scale Empirical Study",1808.05697,http://arxiv.org/abs/1808.05697v3,2018-08-16T22:46:40Z,7
"Comparative Performance Analysis of Neural Networks Architectures on H2O
  Platform for Various Activation Functions",1707.04940,http://arxiv.org/abs/1707.04940v1,2017-07-16T19:57:28Z,7
Learning from LDA using Deep Neural Networks,1508.01011,http://arxiv.org/abs/1508.01011v1,2015-08-05T09:22:25Z,7
"Deep Learning of Geometric Constellation Shaping including Fiber
  Nonlinearities",1805.03785,http://arxiv.org/abs/1805.03785v1,2018-05-10T02:08:15Z,7
"From Language to Goals: Inverse Reinforcement Learning for Vision-Based
  Instruction Following",1902.07742,http://arxiv.org/abs/1902.07742v1,2019-02-20T19:22:00Z,7
Efficient K-Shot Learning with Regularized Deep Networks,1710.02277,http://arxiv.org/abs/1710.02277v1,2017-10-06T05:07:28Z,7
Collaborative Layer-wise Discriminative Learning in Deep Neural Networks,1607.05440,http://arxiv.org/abs/1607.05440v1,2016-07-19T07:56:37Z,7
"Federated Control with Hierarchical Multi-Agent Deep Reinforcement
  Learning",1712.08266,http://arxiv.org/abs/1712.08266v1,2017-12-22T00:54:48Z,7
Searching for Exoplanets Using Artificial Intelligence,1706.04319,http://arxiv.org/abs/1706.04319v2,2017-06-14T05:22:40Z,7
Kernel Conditional Exponential Family,1711.05363,http://arxiv.org/abs/1711.05363v2,2017-11-15T00:32:08Z,7
Spectrum-based deep neural networks for fraud detection,1706.00891,http://arxiv.org/abs/1706.00891v1,2017-06-03T03:08:34Z,7
Learning with Non-Convex Truncated Losses by SGD,1805.07880,http://arxiv.org/abs/1805.07880v1,2018-05-21T03:41:37Z,7
"Deep Generative Models in the Real-World: An Open Challenge from Medical
  Imaging",1806.05452,http://arxiv.org/abs/1806.05452v1,2018-06-14T10:23:54Z,7
"Towards Ultra-High Performance and Energy Efficiency of Deep Learning
  Systems: An Algorithm-Hardware Co-Optimization Framework",1802.06402,http://arxiv.org/abs/1802.06402v1,2018-02-18T16:51:04Z,7
"Joint Binary Neural Network for Multi-label Learning with Applications
  to Emotion Classification",1802.00891,http://arxiv.org/abs/1802.00891v1,2018-02-03T01:42:32Z,7
"CNN based Learning using Reflection and Retinex Models for Intrinsic
  Image Decomposition",1712.01056,http://arxiv.org/abs/1712.01056v2,2017-12-04T13:16:33Z,7
Deep EHR: Chronic Disease Prediction Using Medical Notes,1808.04928,http://arxiv.org/abs/1808.04928v1,2018-08-15T00:10:55Z,7
"A Hybrid DSP/Deep Learning Approach to Real-Time Full-Band Speech
  Enhancement",1709.08243,http://arxiv.org/abs/1709.08243v3,2017-09-24T19:23:22Z,7
Multi-focus Attention Network for Efficient Deep Reinforcement Learning,1712.04603,http://arxiv.org/abs/1712.04603v1,2017-12-13T04:04:29Z,7
"Unsupervised Person Re-identification by Deep Asymmetric Metric
  Embedding",1901.10177,http://arxiv.org/abs/1901.10177v1,2019-01-29T08:49:26Z,7
Negative eigenvalues of the Hessian in deep neural networks,1902.02366,http://arxiv.org/abs/1902.02366v1,2019-02-06T19:18:13Z,7
Adjustable Bounded Rectifiers: Towards Deep Binary Representations,1511.06201,http://arxiv.org/abs/1511.06201v1,2015-11-19T15:14:02Z,7
End-To-End Alzheimer's Disease Diagnosis and Biomarker Identification,1810.00523,http://arxiv.org/abs/1810.00523v1,2018-10-01T04:01:09Z,7
Hierarchical Temporal Representation in Linear Reservoir Computing,1705.05782,http://arxiv.org/abs/1705.05782v5,2017-05-16T16:03:00Z,7
"TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep
  Reinforcement Learning",1710.11417,http://arxiv.org/abs/1710.11417v2,2017-10-31T11:54:35Z,7
Object-Centric Photometric Bundle Adjustment with Deep Shape Prior,1711.01470,http://arxiv.org/abs/1711.01470v1,2017-11-04T17:57:57Z,7
"Multimodal Transfer Deep Learning with Applications in Audio-Visual
  Recognition",1412.3121,http://arxiv.org/abs/1412.3121v2,2014-12-09T21:12:19Z,7
"Group Invariance, Stability to Deformations, and Complexity of Deep
  Convolutional Representations",1706.03078,http://arxiv.org/abs/1706.03078v4,2017-06-09T18:02:47Z,7
Analysis of dropout learning regarded as ensemble learning,1706.06859,http://arxiv.org/abs/1706.06859v1,2017-06-20T04:19:57Z,7
"Incorporating Dictionaries into Deep Neural Networks for the Chinese
  Clinical Named Entity Recognition",1804.05017,http://arxiv.org/abs/1804.05017v1,2018-04-13T16:36:44Z,7
"Earliness-Aware Deep Convolutional Networks for Early Time Series
  Classification",1611.04578,http://arxiv.org/abs/1611.04578v1,2016-11-14T20:55:33Z,7
"DeepSpark: A Spark-Based Distributed Deep Learning Framework for
  Commodity Clusters",1602.08191,http://arxiv.org/abs/1602.08191v3,2016-02-26T04:18:21Z,7
Deep Neural Network Approximation Theory,1901.02220,http://arxiv.org/abs/1901.02220v1,2019-01-08T09:41:27Z,7
"NestDNN: Resource-Aware Multi-Tenant On-Device Deep Learning for
  Continuous Mobile Vision",1810.10090,http://arxiv.org/abs/1810.10090v1,2018-10-23T21:07:42Z,7
Sensor Fusion for Robot Control through Deep Reinforcement Learning,1703.04550,http://arxiv.org/abs/1703.04550v1,2017-03-13T20:08:39Z,7
Mosquito Detection with Neural Networks: The Buzz of Deep Learning,1705.05180,http://arxiv.org/abs/1705.05180v1,2017-05-15T12:19:15Z,7
Neurogenesis Deep Learning,1612.03770,http://arxiv.org/abs/1612.03770v2,2016-12-12T16:25:23Z,7
Generalization and Regularization in DQN,1810.00123,http://arxiv.org/abs/1810.00123v2,2018-09-29T00:52:34Z,7
"Data-Efficient Weakly Supervised Learning for Low-Resource Audio Event
  Detection Using Deep Learning",1807.06972,http://arxiv.org/abs/1807.06972v2,2018-07-17T14:03:55Z,7
Deep Over-sampling Framework for Classifying Imbalanced Data,1704.07515,http://arxiv.org/abs/1704.07515v3,2017-04-25T02:12:00Z,7
Learning to Walk via Deep Reinforcement Learning,1812.11103,http://arxiv.org/abs/1812.11103v3,2018-12-26T10:07:13Z,7
"Label distribution based facial attractiveness computation by deep
  residual learning",1609.00496,http://arxiv.org/abs/1609.00496v2,2016-09-02T08:08:39Z,7
